JWMNP_bin,ymin,lower,middle,upper,ymax
"[0,15]",-13264.9552,21888.531,40595.31,69591.96,141145.37039999999
"(15,30]",-11830.6332,27517.0104,47374.84,79807.56,158240.51838000002
"(30,45]",-11488.3987,31923.024,54552.12826,89060.88,174722.21424
"(45,60]",-11488.3987,31978.017,55673.568,92400.663,183029.8116
"(60,75]",-9690.918,35839.8594,63846.048,105083.8596,208822.27464000002
"(75,90]",-10206.820800000001,32835.1104,58369.416,99019.545,198263.7054
"(90,105]",-6031.3032,31269.33,57483.45165,98676.98967000001,199518.9
"(105,120]",-2250.3049,28970.718,52444.968,92789.28,188141.109
"(120,135]",-8460.7836,31010.9376,51543.9843,80947.668,155654.0172
"(135,150]",-9462.7185,30280.6992,53353.836,90469.548,180735.01460000002
"(150,165]",-10438.794,29609.275,53157.861,86459.083,171700.26479999998
"(180,195]",710.6226,32360.2614,63061.91442,105409.019,210818.038
"(195,210]",93485.1996,93485.1996,93485.1996,100444.3956,100444.3956
NA,-11843.710000000001,37395.5424,71248.704,121345.449,247267.43852999998
