PWGTP,ESR,name,Income
294412,Unemployed/NA,Supplementary Security Income [SSIP],11000
8378,Unemployed/NA,Supplementary Security Income [SSIP],5000
69640,Unemployed/NA,Supplementary Security Income [SSIP],1000
4695,Unemployed/NA,Public Assistance Income [PAP],1000
14861,Unemployed/NA,Supplementary Security Income [SSIP],3000
5683,Unemployed/NA,Public Assistance Income [PAP],7000
1120,Civilian employed,Public Assistance Income [PAP],2000
5679,Unemployed/NA,Supplementary Security Income [SSIP],11000
9517,Unemployed/NA,Supplementary Security Income [SSIP],10000
2505,Unemployed/NA,Public Assistance Income [PAP],13000
10979,Unemployed/NA,Supplementary Security Income [SSIP],4000
3807,Unemployed/NA,Supplementary Security Income [SSIP],12000
2027,Unemployed/NA,Public Assistance Income [PAP],2000
3703,Unemployed/NA,Supplementary Security Income [SSIP],9000
6742,Unemployed/NA,Public Assistance Income [PAP],1000
1124,Unemployed/NA,Supplementary Security Income [SSIP],16000
1539,Unemployed/NA,Supplementary Security Income [SSIP],15000
4816,Unemployed/NA,Supplementary Security Income [SSIP],1000
2464,Unemployed/NA,Supplementary Security Income [SSIP],14000
1066,Unemployed/NA,Supplementary Security Income [SSIP],15000
4883,Unemployed/NA,Supplementary Security Income [SSIP],4000
2081,Civilian employed,Public Assistance Income [PAP],1000
1567,Unemployed/NA,Supplementary Security Income [SSIP],17000
8305,Unemployed/NA,Supplementary Security Income [SSIP],9000
2453,Unemployed/NA,Supplementary Security Income [SSIP],9000
3015,Unemployed/NA,Supplementary Security Income [SSIP],1000
3096,Unemployed/NA,Supplementary Security Income [SSIP],11000
2513,Civilian employed,Public Assistance Income [PAP],1000
1445,Unemployed/NA,Supplementary Security Income [SSIP],15000
1389,Civilian employed,Public Assistance Income [PAP],2000
1175,Unemployed/NA,Supplementary Security Income [SSIP],6000
1032,Civilian employed,Supplementary Security Income [SSIP],11000
1538,Unemployed/NA,Public Assistance Income [PAP],3000
2342,Unemployed/NA,Supplementary Security Income [SSIP],7000
2287,Unemployed/NA,Supplementary Security Income [SSIP],12000
2286,Unemployed/NA,Public Assistance Income [PAP],1000
2286,Unemployed/NA,Supplementary Security Income [SSIP],7000
1039,Unemployed/NA,Supplementary Security Income [SSIP],22000
1557,Civilian employed,Public Assistance Income [PAP],2000
1309,Unemployed/NA,Supplementary Security Income [SSIP],16000
2090,Civilian employed,Public Assistance Income [PAP],1000
1393,Unemployed/NA,Supplementary Security Income [SSIP],19000
1026,Civilian employed,Public Assistance Income [PAP],3000
1106,Unemployed/NA,Supplementary Security Income [SSIP],28000
1314,Unemployed/NA,Supplementary Security Income [SSIP],16000
1116,Civilian employed,Public Assistance Income [PAP],1000
1537,Unemployed/NA,Supplementary Security Income [SSIP],12000
