ESR,AssistanceIncomeRatio,PWGTP
Unemployed/NA,0.61,11434
Civilian employed,0.86,6155
Unemployed/NA,0.3,75976
Unemployed/NA,0.75,42297
Unemployed/NA,0.38,72877
Unemployed/NA,0.35,40622
Unemployed/NA,0.62,33459
Unemployed/NA,0.11,51487
Unemployed/NA,0.1,69971
Civilian employed,0.65,5035
Unemployed/NA,0.54,21608
Unemployed/NA,0.17,69669
Unemployed/NA,0.34,16143
Unemployed/NA,0.26,28512
Civilian employed,0.69,6234
Civilian employed,0.08,59265
Civilian employed,0.17,36550
Unemployed/NA,0.18,65679
Civilian employed,0.07,56500
Unemployed/NA,0.79,9428
Civilian employed,0.06,67394
Civilian employed,0.02,86094
Unemployed/NA,0.7,28366
Unemployed/NA,0.08,70709
Unemployed/NA,0.36,56711
Civilian employed,0.22,27695
Civilian employed,0.05,65661
Civilian employed,0.32,16651
Civilian employed,0.75,12846
Unemployed/NA,0.33,117951
Unemployed/NA,0.06,55976
Unemployed/NA,0.89,29687
Unemployed/NA,0.01,21099
Unemployed/NA,0.32,36528
Unemployed/NA,0.27,60163
Civilian employed,0.03,83663
Unemployed/NA,0.02,36815
Unemployed/NA,0.04,45576
Unemployed/NA,0.19,32449
Unemployed/NA,0.57,27523
Unemployed/NA,0.42,46597
Unemployed/NA,0.4,93320
Civilian employed,0.1,42712
Unemployed/NA,0.41,36275
Unemployed/NA,0.44,65084
Unemployed/NA,0.6,48742
Unemployed/NA,0.43,44869
Unemployed/NA,0.94,22745
Unemployed/NA,0.88,29789
Unemployed/NA,0.15,56560
Civilian employed,0.01,52294
Unemployed/NA,0.37,23473
Civilian employed,0.27,19350
Civilian employed,0.28,14144
Unemployed/NA,0.21,40285
Unemployed/NA,0.07,55106
Civilian employed,0.45,12237
Civilian employed,0.62,12929
Unemployed/NA,0.52,27973
Civilian employed,0.6,12330
Civilian employed,0.14,39635
Civilian employed,0.15,36542
Civilian employed,0.21,26247
Civilian employed,0.56,12038
Unemployed/NA,0.53,36003
Unemployed/NA,0.55,34317
Unemployed/NA,0.65,14346
Civilian employed,0.77,5661
Civilian employed,0.16,26622
Civilian employed,0.23,22566
Unemployed/NA,0.24,32878
Unemployed/NA,0.95,13295
Unemployed/NA,0.25,77447
Civilian employed,0.54,5565
Unemployed/NA,0.48,51909
Unemployed/NA,0.84,3835
Civilian employed,0.46,8127
Civilian employed,0.59,7391
Unemployed/NA,0.59,18576
Civilian employed,0.44,13340
Civilian employed,0.11,46187
Unemployed/NA,0.13,32043
Unemployed/NA,0.23,43739
Civilian employed,0.33,34503
Civilian employed,0.73,6516
Civilian employed,0.83,9170
Unemployed/NA,0.45,59857
Civilian employed,0.19,27866
Unemployed/NA,0.77,17048
