sum(PWGTP),SCHL_grouped,PINCP_adjusted
32915016,Pre-diploma grade,NA
3029,Bachelors degree,478000
30673,Associates degree,110000
12680,Masters degree,230000
147772,Associates degree,49000
901189,Pre-degree college,23000
990279,Regular high school diploma,16000
687214,Regular high school diploma,42000
124667,GED or alternative credential,33000
398548,Pre-degree college,37000
1233809,Masters degree,0
791164,Pre-degree college,9000
615167,Regular high school diploma,40000
674818,Pre-diploma grade,14000
1020482,N/A,0
142935,Masters degree,35000
618688,Pre-degree college,42000
1159021,Regular high school diploma,23000
290814,Masters degree,63000
988796,Regular high school diploma,9000
543722,Pre-degree college,40000
667917,Regular high school diploma,47000
713542,Regular high school diploma,34000
307839,Bachelors degree,80000
242732,Bachelors degree,86000
155078,Associates degree,70000
367485,Bachelors degree,43000
50800,Pre-degree college,113000
955904,Regular high school diploma,24000
614153,Pre-degree college,34000
327339,Pre-degree college,49000
356341,Bachelors degree,18000
408287,Bachelors degree,67000
590090,Bachelors degree,36000
213580,Associates degree,9000
331032,Regular high school diploma,49000
296,Associates degree,472000
160233,Masters degree,17000
530701,Pre-degree college,45000
597715,Regular high school diploma,45000
296468,Pre-degree college,70000
719011,Pre-degree college,16000
1105300,Pre-diploma grade,11000
34229,Bachelors degree,173000
261817,Associates degree,24000
424057,Pre-degree college,59000
269053,Regular high school diploma,70000
737053,Pre-degree college,24000
394872,Bachelors degree,1000
35551,Bachelors degree,180000
241402,Bachelors degree,93000
247789,Bachelors degree,66000
1875,Bachelors degree,398000
56339,Pre-diploma grade,55000
98966,Associates degree,104000
625582,Pre-degree college,47000
66120,Pre-degree college,109000
134058,Associates degree,73000
12371,Masters degree,216000
246109,Associates degree,34000
242394,Pre-degree college,73000
155046,Associates degree,37000
410256,Regular high school diploma,59000
53677,Masters degree,189000
34175,Regular high school diploma,113000
288463,Masters degree,89000
48919,N/A,63000
92857,N/A,17000
94720,Masters degree,145000
99867,Masters degree,15000
243916,Associates degree,16000
75827,N/A,15000
94111,N/A,8000
178343,Pre-degree college,104000
15812,Pre-degree college,144000
243558,Associates degree,45000
49493,N/A,35000
45185,N/A,89000
232983,Associates degree,40000
53132,Pre-degree college,110000
152196,Bachelors degree,128000
314232,Associates degree,23000
212175,Pre-diploma grade,32000
24480,Masters degree,245000
109807,Pre-diploma grade,56000
77475,Bachelors degree,121000
49438,Bachelors degree,177000
5529,Bachelors degree,323000
767,Bachelors degree,1159000
18588,Pre-degree college,138000
144881,Masters degree,61000
103034,GED or alternative credential,25000
215670,Associates degree,59000
294270,Associates degree,47000
12794,Associates degree,127000
35317,Associates degree,109000
277283,Associates degree,42000
92390,Masters degree,4000
57521,N/A,4000
391923,Bachelors degree,53000
95548,Masters degree,20000
