JWMNP_bin,avg_weighted_PINCP_adjusted
"[0,10]",56545.87634486414
"(10,20]",63826.4165903332
"(20,30]",68316.48174634721
"(30,40]",75174.93505299042
"(40,50]",75019.38852875715
"(50,60]",73801.53853271005
"(60,70]",86337.32320969435
"(70,80]",85411.33540494082
"(80,90]",79575.32328399454
"(90,100]",79948.20066561266
"(100,110]",85409.52977677529
"(110,120]",70662.24265065942
"(120,130]",66412.39452311762
"(130,140]",79222.57024473923
"(140,150]",73255.95300905808
"(150,160]",69342.06530261374
"(160,170]",71647.26230862668
"(180,190]",83632.97978613107
"(190,200]",99202.51887272728
NA,98966.36376953089
